ID,AssistsTotal,BlocksTotal,DefensiveReboundsTotal,DoubleDoubles,Efficiency,FieldGoals2PointsAttemptedTotal,FieldGoals2PointsMadeTotal,FieldGoals3PointsAttemptedTotal,FieldGoals3PointsMadeTotal,FreeThrowsAttemptedTotal,FreeThrowsMadeTotal,GamesPlayedTotal,LastName,MinutesTotal,OffensiveReboundsTotal,OfficialName,PersonalFoulsTotal,PlayerId,PlayerLink,PlusMinus,PointsTotal,Position,SecondsTotal,ShirtNumber,StealsTotal,TripleDoubles,TurnOversTotal,Country,FullName
176,1,3,10,0,40.0,24,14,13,3,2,2,5,Bjelica,83,5,Milko Bjelica (MNE),10,143691,/basketballworldcup/2019/player/Milko-Bjelica,-4,39,Power Forward,5019,N/A,4,0,2,MNE,Milko Bjelica
177,6,3,29,0,74.0,53,26,10,4,12,9,5,Vucevic,118,3,Nikola Vucevic (MNE),6,168970,/basketballworldcup/2019/player/Nikola-Vucevic,-12,73,Center,7130,N/A,4,0,8,MNE,Nikola Vucevic
178,13,0,23,1,67.0,12,6,22,8,18,14,5,Dubljevic,128,13,Bojan Dubljevic (MNE),14,168214,/basketballworldcup/2019/player/Bojan-Dubljevic,-27,50,Power Forward,7719,N/A,7,0,15,MNE,Bojan Dubljevic
179,2,3,5,0,20.0,9,4,1,0,7,5,5,Todorovic,53,2,Marko Todorovic (MNE),11,169356,/basketballworldcup/2019/player/Marko-Todorovic,-37,13,Center,3215,N/A,6,0,3,MNE,Marko Todorovic
180,3,5,14,0,37.0,12,8,4,1,4,1,5,Radoncic,82,8,Dino Radoncic (MNE),9,209235,/basketballworldcup/2019/player/Dino-Radoncic,1,20,Forward,4956,N/A,2,0,5,MNE,Dino Radoncic
181,12,0,12,0,49.0,28,13,12,4,15,12,5,Garcia,111,2,Alex Garcia (BRA),11,141586,/basketballworldcup/2019/player/Alex-Garcia,6,50,Small Forward,6709,N/A,8,0,9,BRA,Alex Garcia
182,9,0,32,0,78.0,36,21,1,0,9,8,5,Varejao,111,3,Anderson Varejao (BRA),8,139913,/basketballworldcup/2019/player/Anderson-Varejao,21,50,Center,6701,N/A,3,0,2,BRA,Anderson Varejao
183,6,6,22,0,45.0,15,6,16,5,2,1,5,Caboclo,133,4,Bruno Caboclo (BRA),12,203070,/basketballworldcup/2019/player/Bruno-Caboclo,-9,28,Forward,8017,N/A,5,0,5,BRA,Bruno Caboclo
184,7,1,12,0,53.0,22,13,0,0,6,5,5,Felicio,80,16,Cristiano Felicio (BRA),6,177657,/basketballworldcup/2019/player/Cristiano-Felicio,-48,31,Center,4812,N/A,2,0,6,BRA,Cristiano Felicio
185,11,1,8,0,48.0,45,20,11,4,19,16,5,Barbosa,113,0,Leandrinho Barbosa (BRA),10,141587,/basketballworldcup/2019/player/Leandrinho-Barbosa,-10,68,Small Forward,6807,N/A,3,0,8,BRA,Leandrinho Barbosa
186,24,0,8,0,47.0,29,13,9,3,3,3,5,Huertas,91,2,Marcelinho Huertas (BRA),7,147079,/basketballworldcup/2019/player/Marcelinho-Huertas,1,38,Point Guard,5491,N/A,2,0,5,BRA,Marcelinho Huertas
187,3,1,8,0,17.0,7,1,6,2,4,3,5,Louzada,46,1,Didi Louzada (BRA),5,213794,/basketballworldcup/2019/player/Didi-Louzada,-20,11,Shooting Guard,2788,N/A,4,0,0,BRA,Didi Louzada
188,2,0,8,0,45.0,16,11,21,8,6,5,5,Sousa,96,2,Marquinhos Sousa (BRA),7,141831,/basketballworldcup/2019/player/Marquinhos-Sousa,-5,51,Small Forward,5766,N/A,5,0,4,BRA,Marquinhos Sousa
189,3,0,6,0,29.0,14,2,22,11,15,11,5,Benite,90,2,Vítor Benite (BRA),12,157782,/basketballworldcup/2019/player/Vítor-Benite,-16,48,Shooting Guard,5439,N/A,1,0,4,BRA,Vítor Benite
